Exercicio;GG;Dotacao_Inicial;Rel_L1xOutros
2001;L1;7,231430562;39,69684672
2002;L1;8,761456455;40,88152847
2003;L1;11,93210011;43,19154667
2004;L1;11,5772031;37,45222606
2005;L1;12,51073553;38,77994713
2006;L1;13,04026541;37,26905339
2007;L1;15,19510417;41,34294747
2008;L1;14,91540784;37,4015251
2009;L1;16,48501077;35,31762469
2010;L1;19,34713567;40,81380633
2011;L1;22,44719444;39,9319458
2012;L1;26,36466167;41,17405656
2013;L1;29,82673278;41,00484974
2014;L1;33,91794517;43,99845771
2015;L1;37,39122968;45,15774719
2016;L1;43,49610185;54,4377773
2017;L1;44,62371323;57,42327162
2018;L1;42,65200807;58,3178425
2019;L1;46,75472984;58,1715557
2020;L1;48,23295317;57,88275468
2001;OutrosGG;10,98520668;60,30315328
2002;OutrosGG;12,66987643;59,11847153
2003;OutrosGG;15,69390782;56,80845333
2004;OutrosGG;19,33471942;62,54777394
2005;OutrosGG;19,75010147;61,22005287
2006;OutrosGG;21,94926136;62,73094661
2007;OutrosGG;21,55869569;58,65705253
2008;OutrosGG;24,96373559;62,5984749
2009;OutrosGG;30,1914317;64,68237531
2010;OutrosGG;28,05627364;59,18619367
2011;OutrosGG;33,766431;60,0680542
2012;OutrosGG;37,66755636;58,82594344
2013;OutrosGG;42,91279187;58,99515026
2014;OutrosGG;43,17099598;56,00154229
2015;OutrosGG;45,41013223;54,84225281
2016;OutrosGG;36,40448191;45,5622227
2017;OutrosGG;33,08644151;42,57672838
2018;OutrosGG;30,48514215;41,6821575
2019;OutrosGG;33,61913893;41,8284443
2020;OutrosGG;35,09575749;42,11724532
