Exercicio;GG;Dotacao_Inicial;Despesa_Liquidada
1999;L4;12,02526276;13,01407524
1999;L5;1,119118061;0,385797176
2000;L4;16,4023181;14,81047834
2000;L5;1,865963697;1,625968674
2001;L1;7,231430562;7,998550725
2001;L2;0,731994906;0,864982075
2001;L3;5,953825453;5,656473483
2001;L4;1,881510178;1,682444059
2001;L5;2,40926966;1,560964627
2001;L6;0,00860648;0,004046779
2002;L1;8,761456455;9,630616789
2002;L2;0,832830947;0,887091835
2002;L3;7,229094979;6,24438359
2002;L4;2,314825711;1,771619976
2002;L5;1,280754732;1,032413657
2002;L6;1,012370059;0,657946804
2003;L1;11,93210011;11,67445854
2003;L2;0,934095091;0,898273088
2003;L3;8,977364933;7,835032345
2003;L4;3,130185228;3,834987489
2003;L5;1,656588839;0,605790079
2003;L6;0,995673733;0,05124323
2004;L1;11,5772031;11,06561852
2004;L2;1,168361004;1,122467222
2004;L3;11,77572389;10,6401514
2004;L4;3,219094469;3,199952533
2004;L5;3,171540056;1,437705364
2005;L1;12,51073553;11,9624142
2005;L2;1,394059839;1,158574235
2005;L3;11,833972;11,46639408
2005;L4;3,724036593;3,917129488
2005;L5;2,798033034;1,680659569
2006;L1;13,04026541;13,48428761
2006;L2;1,265240696;1,143733365
2006;L3;13,6310752;13,07398573
2006;L4;4,430473734;4,604408306
2006;L5;2,622471727;1,819334792
2007;L1;15,19510417;14,83813204
2007;L2;1,37740452;1,253920686
2007;L3;13,1661949;13,81704378
2007;L4;4,832679164;4,011254948
2007;L5;2,182417109;1,551599149
2008;L1;14,91540784;15,20286907
2008;L2;1,500744098;1,536032296
2008;L3;14,39424218;15,58045488
2008;L4;5,770404042;6,35413694
2008;L5;3,298345273;1,831666161
2009;L1;16,48501077;16,71877167
2009;L2;1,663593777;1,459652385
2009;L3;16,45188716;17,11216224
2009;L4;7,699329407;7,249753574
2009;L5;4,376621356;2,734317155
2010;L1;19,34713567;20,5992838
2010;L2;1,044325994;1,17763848
2010;L3;16,4090112;17,84411848
2010;L4;5,559944456;6,409378052
2010;L5;5,042991986;4,617352063
2011;L1;22,44719444;23,96624454
2011;L2;1,582362163;1,510650883
2011;L3;19,21830332;19,39124023
2011;L4;6,991568001;6,872255646
2011;L5;5,974197514;4,549209235
2012;L1;26,36466167;27,38487181
2012;L2;1,539996744;1,499410944
2012;L3;21,32159262;20,85307697
2012;L4;7,929560588;8,03488085
2012;L5;6,876406408;5,682780031
2013;L1;29,82673278;31,3800431
2013;L2;1,541648882;1,663986838
2013;L3;23,06909478;21,43293328
2013;L4;8,703348849;9,568232607
2013;L5;9,598699357;7,006258878
2014;L1;33,91794517;34,57001622
2014;L2;1,748778123;1,885282046
2014;L3;19,25430565;20,64531389
2014;L4;9,425105479;10,10064543
2014;L5;12,74280673;8,128953438
2015;L1;37,39122968;36,25815283
2015;L2;2,127019094;1,911440676
2015;L3;21,4458069;10,34133442
2015;L4;10,25613487;9,917977709
2015;L5;11,58087137;7,20245908
2015;L9;0,0003;0
2016;L1;43,49610185;39,35273555
2016;L2;3,704219725;2,879193961
2016;L3;13,67928534;7,397816928
2016;L4;10,51607417;8,195894297
2016;L5;8,305355577;2,641500134
2016;L9;0,1995471;0
2017;L1;44,62371323;42,47142377
2017;L2;3,543070295;2,938210158
2017;L3;14,97247467;11,96490578
2017;L4;9,271299704;9,107961132
2017;L5;5,060260201;1,228256274
2017;L9;0,239336639;0
2018;L1;42,65200807;43,32149871
2018;L2;4,014137661;3,366938478
2018;L3;11,93986905;6,542823677
2018;L4;9,722939733;9,557402082
2018;L5;4,478836268;1,907594326
2018;L9;0,329359435;0
2019;L1;46,75472984;43,90993538
2019;L2;4,075904253;3,379408515
2019;L3;13,75284342;9,120285378
2019;L4;10,37909454;8,147738344
2019;L5;5,067496425;1,999546875
2019;L9;0,343800293;0
2020;L1;48,23295317;43,71147174
2020;L2;4,219747293;3,130761788
2020;L3;14,46171928;7,602979464
2020;L4;10,201352;7,928703257
2020;L5;5,094709205;1,128378144
2020;L6;0,635282764;0,356033225
2020;L9;0,482946944;0
