Exercicio;Dotacao_Inicial;Despesa_Liquidada;Perc_Liquidacao
1999;13,14;13,4;101,94
2000;18,27;16,44;89,97
2001;18,22;17,77;97,53
2002;21,43;20,22;94,37
2003;27,63;24,9;90,13
2004;30,91;27,47;88,85
2005;32,26;30,19;93,57
2006;34,99;34,13;97,53
2007;36,75;35,47;96,51
2008;39,88;40,51;101,57
2009;46,68;45,27;97
2010;47,4;50,65;106,84
2011;56,21;56,29;100,14
2012;64,03;63,46;99,1
2013;72,74;71,05;97,68
2014;77,09;75,33;97,72
2015;82,8;65,63;79,26
2016;79,9;60,47;75,68
2017;77,71;67,71;87,13
2018;73,14;64,7;88,46
2019;80,37;66,56;82,81
2020;83,33;63,95;76,75
