Exercicio;Rec_inicial;Rec_Realizada;Perc_Realizacao;PIB-RJ
1999;13,92728659;12,99473828;93,3;11,4419457
2000;18,2682818;15,95001115;87,31;13,7876531
2001;18,21663724;17,79197935;97,67;14,8033352
2002;21,43133288;19,20487753;89,61;18,4310915
2003;27,62600794;24,43317554;88,44;20,2640789
2004;30,91192252;27,69399617;89,59;24,1206738
2005;32,260837;30,32108308;93,99;26,9830061
2006;34,98952677;34,14137653;97,58;29,9738183
2007;36,75379986;36,48351805;99,26;32,3698286
2008;39,87914343;43,01666296;107,87;37,82858
2009;46,67644247;44,81900921;96,02;39,1650854
2010;50,52495333;53,69204197;106,27;44,9858101
2011;59,23687179;58,12620352;98,13;51,2767905
2012;64,03221803;63,59046545;99,31;57,4884973
2013;72,73952465;71,19247417;97,87;62,8226069
2014;77,08894115;75,79098791;98,32;67,1076844
2015;82,80401977;61,65416572;74,46;65,9138952
2016;79,90058376;50,6853087;63,44;64,0401206
2017;58,35516936;62,27406156;106,72;67,1605668
2018;63,12100666;69,35234504;109,87;75,8859047
2019;72,37127359;69,62663566;96,21;
2020;72,60381928;67,14971938;92,49;
